ro;percent;DaysSaved;tp
1;1;-1.1808667706051;TP = 75%
2;1;-0.555208411125881;TP = 75%
3;1;7.87608946571799;TP = 75%
4;1;8.97758844862577;TP = 75%
5;1;6.17301678747397;TP = 75%
6;1;4.05984471008343;TP = 75%
7;1;2.48154722557427;TP = 75%
8;1;1.26758482716765;TP = 75%
9;1;0.30768916633977;TP = 75%
10;1;-0.469351371972451;TP = 75%
11;1;-1.11086436723274;TP = 75%
12;1;-1.64931821242405;TP = 75%
13;1;-2.10765256010207;TP = 75%
14;1;-2.50250382218694;TP = 75%
15;1;-2.84621713465313;TP = 75%
16;1;-3.14813959717551;TP = 75%
17;1;-3.41547498572513;TP = 75%
18;1;-3.65386307251062;TP = 75%
19;1;-3.86778130923527;TP = 75%
20;1;-4.06082909320743;TP = 75%
1;2;-2.37450595099064;TP = 75%
2;2;-1.58825464889429;TP = 75%
3;2;9.9761574825841;TP = 75%
4;2;19.1045000135315;TP = 75%
5;2;14.6676696351064;TP = 75%
6;2;10.3399356540604;TP = 75%
7;2;7.04021570745075;TP = 75%
8;2;4.48339222528541;TP = 75%
9;2;2.45428343259651;TP = 75%
10;2;0.80834002792146;TP = 75%
11;2;-0.552212793091584;TP = 75%
12;2;-1.69509080221047;TP = 75%
13;2;-2.66841084564932;TP = 75%
14;2;-3.50719842791788;TP = 75%
15;2;-4.2375108779312;TP = 75%
16;2;-4.87911354518052;TP = 75%
17;2;-5.44726006096296;TP = 75%
18;2;-5.95390452203962;TP = 75%
19;2;-6.40854479872594;TP = 75%
20;2;-6.81882084050142;TP = 75%
1;3;-3.57299379749404;TP = 75%
2;3;-2.72920440106171;TP = 75%
3;3;9.51754547578188;TP = 75%
4;3;25.3415303803321;TP = 75%
5;3;24.8200519088717;TP = 75%
6;3;18.6272761286831;TP = 75%
7;3;13.5281095179421;TP = 75%
8;3;9.52251192696507;TP = 75%
9;3;6.32452096095476;TP = 75%
10;3;3.72208011869726;TP = 75%
11;3;1.5667795518559;TP = 75%
12;3;-0.245876226581331;TP = 75%
13;3;-1.79083344410778;TP = 75%
14;3;-3.12296431024096;TP = 75%
15;3;-4.28324886729241;TP = 75%
16;3;-5.30285580757963;TP = 75%
17;3;-6.20588632288396;TP = 75%
18;3;-7.01125595348357;TP = 75%
19;3;-7.73401050798562;TP = 75%
20;3;-8.38626320651635;TP = 75%
1;4;-4.77318201999011;TP = 75%
2;4;-3.9024009710036;TP = 75%
3;4;8.51432745963091;TP = 75%
4;4;26.3381400320899;TP = 75%
5;4;33.605390932696;TP = 75%
6;4;28.5136559901074;TP = 75%
7;4;21.768640583798;TP = 75%
8;4;16.2595389975987;TP = 75%
9;4;11.8134372810323;TP = 75%
10;4;8.17627562485497;TP = 75%
11;4;5.15508346355834;TP = 75%
12;4;2.60953483585378;TP = 75%
13;4;0.437318012501038;TP = 75%
14;4;-1.43719396016212;TP = 75%
15;4;-3.07082494891627;TP = 75%
16;4;-4.5069717813215;TP = 75%
17;4;-5.77928869144502;TP = 75%
18;4;-6.91424522963915;TP = 75%
19;4;-7.93292977947328;TP = 75%
20;4;-8.85234152687592;TP = 75%
1;5;-5.97358850172711;TP = 75%
2;5;-5.08774013345413;TP = 75%
3;5;7.38818060983464;TP = 75%
4;5;25.6414641445076;TP = 75%
5;5;36.6879206915635;TP = 75%
6;5;38.2160055296891;TP = 75%
7;5;31.4517019986147;TP = 75%
8;5;24.5408024718034;TP = 75%
9;5;18.8116151512111;TP = 75%
10;5;14.0807068216108;TP = 75%
11;5;10.1318743858574;TP = 75%
12;5;6.79521707859786;TP = 75%
13;5;3.94274095873683;TP = 75%
14;5;1.47819752619084;TP = 75%
15;5;-0.671470587061975;TP = 75%
16;5;-2.5624240186888;TP = 75%
17;5;-4.23841028006032;TP = 75%
18;5;-5.73394734359013;TP = 75%
19;5;-7.07660072914651;TP = 75%
20;5;-8.2886306645606;TP = 75%
1;6;-7.17342773170924;TP = 75%
2;6;-6.27818189845117;TP = 75%
3;6;6.22484903553849;TP = 75%
4;6;24.5951261759752;TP = 75%
5;6;36.5069880724881;TP = 75%
6;6;43.1135699822789;TP = 75%
7;6;41.3593370704626;TP = 75%
8;6;34.1008355864488;TP = 75%
9;6;27.1796520155708;TP = 75%
10;6;21.3369886887473;TP = 75%
11;6;16.4176271592477;TP = 75%
12;6;12.2413338368664;TP = 75%
13;6;8.66090738205969;TP = 75%
14;6;5.56169640076966;TP = 75%
15;6;2.85503007991782;TP = 75%
16;6;0.47197765258521;TP = 75%
17;6;-1.6415468590161;TP = 75%
